Rep,Quality,Max Lean,Min Knee,Issues
1,WARNING,2,44,WARNING
2,WARNING,6,36,WARNING
3,WARNING,0,40,WARNING
4,WARNING,0,37,WARNING
5,WARNING,0,13,WARNING

TOTAL,5,GOOD,0
