Rep,Quality,Max Lean,Min Knee,Issues
1,BAD,19,51,СЛЕДИ ЗА КОЛЕНОМ|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!|КОЛЕНО СЛИШКОМ ВПЕРЁД!
2,WARNING,16,59,СЛЕДИ ЗА КОЛЕНОМ|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!
3,WARNING,18,60,СЛЕДИ ЗА КОЛЕНОМ|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!
4,BAD,24,56,СЛЕДИ ЗА КОЛЕНОМ|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!|КОЛЕНО СЛИШКОМ ВПЕРЁД!
5,WARNING,17,59,ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!

TOTAL,5,GOOD,0
