Rep,Quality,Max Lean,Min Knee,Issues
1,GOOD,17,49,
2,BAD,49,31,СЛЕДИ ЗА КОЛЕНОМ|ДЕРЖИ СПИНУ ПРЯМО|СЛИШКОМ СИЛЬНЫЙ НАКЛОН!|КОЛЕНО СЛИШКОМ ВПЕРЁД!
3,GOOD,18,53,
4,BAD,46,63,ДЕРЖИ СПИНУ ПРЯМО|СЛИШКОМ СИЛЬНЫЙ НАКЛОН!
5,BAD,50,57,ДЕРЖИ СПИНУ ПРЯМО|СЛИШКОМ СИЛЬНЫЙ НАКЛОН!

TOTAL,5,GOOD,2
