Rep,Quality,Max Lean,Min Knee,Issues
1,WARNING,0,53,СЛЕДИ ЗА КОЛЕНОМ|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!
2,WARNING,24,59,ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!|СЛЕДИ ЗА КОЛЕНОМ
3,BAD,20,35,СЛЕДИ ЗА КОЛЕНОМ|КОЛЕНО СЛИШКОМ ВПЕРЁД!
4,BAD,16,53,СЛЕДИ ЗА КОЛЕНОМ|КОЛЕНО СЛИШКОМ ВПЕРЁД!|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!
5,WARNING,0,52,СЛЕДИ ЗА КОЛЕНОМ|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!

TOTAL,5,GOOD,0
