Rep,Quality,Max Lean,Min Knee,Issues
1,WARNING,27,75,WARNING
2,WARNING,26,62,WARNING
3,WARNING,28,64,WARNING
4,WARNING,10,94,WARNING
5,WARNING,27,69,WARNING
6,BAD,26,41,BAD|WARNING

TOTAL,6,GOOD,0
