Rep,Quality,Max Lean,Min Knee,Issues
1,WARNING,6,29,WARNING
2,WARNING,6,15,WARNING
3,BAD,5,4,BAD|WARNING
4,WARNING,12,11,WARNING
5,WARNING,0,16,WARNING

TOTAL,5,GOOD,0
