Rep,Quality,Max Lean,Min Knee,Issues
1,WARNING,1,23,WARNING
2,WARNING,5,14,WARNING
3,WARNING,7,0,WARNING
4,WARNING,3,66,WARNING
5,WARNING,7,22,WARNING

TOTAL,5,GOOD,0
