Rep,Quality,Max Lean,Min Knee,Issues
1,WARNING,14,36,НЕРАВНОМЕРНОЕ ПРИСЕДАНИЕ!
2,GOOD,45,29,
3,GOOD,40,27,
4,GOOD,14,32,
5,GOOD,20,30,

TOTAL,5,GOOD,4
