Rep,Quality,Max Lean,Min Knee,Issues
1,GOOD,24,50,
2,GOOD,46,60,
3,GOOD,20,51,
4,WARNING,88,81,НЕДОСЕД (ПОЛУПРИСЕД)

TOTAL,4,GOOD,3
