Rep,Quality,Max Lean,Min Knee,Issues
1,WARNING,17,60,СЛЕДИ ЗА КОЛЕНОМ
2,WARNING,15,57,СЛЕДИ ЗА КОЛЕНОМ|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!
3,WARNING,44,51,СЛЕДИ ЗА КОЛЕНОМ|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!|ДЕРЖИ СПИНУ ПРЯМО
4,BAD,58,45,СЛЕДИ ЗА КОЛЕНОМ|ДЕРЖИ СПИНУ ПРЯМО|СЛИШКОМ СИЛЬНЫЙ НАКЛОН!
5,BAD,36,43,КОЛЕНО СЛИШКОМ ВПЕРЁД!|СЛЕДИ ЗА КОЛЕНОМ

TOTAL,5,GOOD,0
