Rep,Quality,Max Lean,Min Knee,Issues
1,WARNING,29,48,СЛИШКОМ БЫСТРЫЙ СПУСК|HOLD STEADY!
2,WARNING,32,55,СЛИШКОМ БЫСТРЫЙ СПУСК|HOLD STEADY!
3,WARNING,52,51,СЛИШКОМ БЫСТРЫЙ СПУСК|HOLD STEADY!

TOTAL,3,GOOD,0
