Rep,Quality,Max Lean,Min Knee,Issues
1,BAD,36,37,КОЛЕНО СЛИШКОМ ВПЕРЁД!|СЛИШКОМ БЫСТРЫЙ СПУСК|HOLD STEADY!|ДЕРЖИ СПИНУ ПРЯМО|СЛЕДИ ЗА КОЛЕНОМ
2,WARNING,19,49,СЛЕДИ ЗА КОЛЕНОМ|СЛИШКОМ БЫСТРЫЙ СПУСК|HOLD STEADY!
3,BAD,19,50,КОЛЕНО СЛИШКОМ ВПЕРЁД!|СЛИШКОМ БЫСТРЫЙ СПУСК|HOLD STEADY!|СЛЕДИ ЗА КОЛЕНОМ
4,WARNING,20,52,СЛИШКОМ БЫСТРЫЙ СПУСК|HOLD STEADY!
5,WARNING,15,49,СЛЕДИ ЗА КОЛЕНОМ|СЛИШКОМ БЫСТРЫЙ СПУСК|HOLD STEADY!

TOTAL,5,GOOD,0
