Rep,Quality,Max Lean,Min Knee,Issues
1,BAD,65,44,СЛЕДИ ЗА КОЛЕНОМ|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!|ДЕРЖИ СПИНУ ПРЯМО|СЛИШКОМ СИЛЬНЫЙ НАКЛОН!
2,BAD,52,45,ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!|СЛЕДИ ЗА КОЛЕНОМ|ДЕРЖИ СПИНУ ПРЯМО|СЛИШКОМ СИЛЬНЫЙ НАКЛОН!
3,WARNING,42,60,СЛЕДИ ЗА КОЛЕНОМ|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!|ДЕРЖИ СПИНУ ПРЯМО
4,WARNING,34,72,ДЕРЖИ СПИНУ ПРЯМО|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!
5,BAD,16,50,КОЛЕНО СЛИШКОМ ВПЕРЁД!|ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!|СЛЕДИ ЗА КОЛЕНОМ|ПРИСЕДАЙ ЧУТЬ ГЛУБЖЕ

TOTAL,5,GOOD,0
