Rep,Quality,Max Lean,Min Knee,Issues
1,WARNING,22,73,ДВОЙНОЕ ДВИЖЕНИЕ ПОЯСНИЦЕЙ!|СЛЕДИ ЗА КОЛЕНОМ|ПРИСЕДАЙ ЧУТЬ ГЛУБЖЕ

TOTAL,1,GOOD,0
