Rep,Quality,Max Lean,Min Knee,Issues
1,GOOD,3,38,
2,WARNING,2,156,СЛИШКОМ БЫСТРЫЙ СПУСК|НЕДОСЕД (ПОЛУПРИСЕД)
3,WARNING,1,108,СЛИШКОМ БЫСТРЫЙ СПУСК|НЕДОСЕД (ПОЛУПРИСЕД)
4,WARNING,1,166,СЛИШКОМ БЫСТРЫЙ СПУСК|НЕДОСЕД (ПОЛУПРИСЕД)
5,WARNING,3,139,СЛИШКОМ БЫСТРЫЙ СПУСК|НЕДОСЕД (ПОЛУПРИСЕД)

TOTAL,5,GOOD,1
