Rep,Quality,Max Lean,Min Knee,Issues
1,GOOD,4,49,
2,GOOD,6,31,
3,GOOD,8,35,
4,GOOD,8,28,
5,GOOD,6,33,

TOTAL,5,GOOD,5
